TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Age_Binned,Amount_Binned
14.09,680.0,1.0,36.0,0.0,70.0,0.0,81.0,1.0,5112.21,105.0,2,1
376.24,1178.0,1.0,15.0,0.0,68.0,0.0,141.0,1.0,13758.91,192.0,2,2
126.29,1262.0,1.0,23.0,2.0,19.0,3.0,56.0,1.0,1122.35,41.0,1,3
184.5,818.0,1.0,33.0,2.0,26.0,3.0,25.0,1.0,8569.06,163.0,1,3
13.45,1939.0,1.0,1.0,2.0,45.0,3.0,198.0,1.0,7429.4,16.0,0,1
92.15,635.0,1.0,28.0,0.0,18.0,3.0,172.0,1.0,781.68,13.0,3,3
7.08,306.0,1.0,39.0,0.0,37.0,0.0,139.0,1.0,13316.71,226.0,1,1
171.42,837.0,1.0,16.0,1.0,67.0,2.0,291.0,1.0,2796.24,271.0,2,3
106.23,557.0,1.0,11.0,1.0,51.0,1.0,86.0,1.0,9095.14,290.0,0,3
211.36,610.0,1.0,26.0,0.0,55.0,0.0,120.0,1.0,1021.88,9.0,0,3
17.78,516.0,1.0,0.0,2.0,52.0,1.0,59.0,1.0,7599.52,22.0,0,1
190.02,234.0,1.0,22.0,2.0,21.0,3.0,173.0,1.0,1528.81,49.0,1,3
494.52,1037.0,1.0,23.0,1.0,24.0,3.0,111.0,1.0,1620.02,135.0,1,2
211.36,2173.0,1.0,22.0,0.0,26.0,3.0,123.0,1.0,189.69,43.0,1,3
166.99,283.0,1.0,21.0,2.0,18.0,3.0,134.0,1.0,299.93,226.0,3,3
465.45,2354.0,1.0,10.0,0.0,36.0,1.0,129.0,1.0,3465.54,355.0,1,2
555.8,2031.0,1.0,2.0,1.0,19.0,3.0,158.0,1.0,1131.26,72.0,1,2
492.93,2367.0,1.0,8.0,2.0,39.0,1.0,234.0,1.0,5109.97,327.0,1,2
18.68,353.0,1.0,0.0,1.0,59.0,2.0,106.0,1.0,7948.37,337.0,0,1
71.48,1050.0,1.0,8.0,2.0,18.0,3.0,169.0,1.0,6568.59,177.0,3,1
59.32,413.0,1.0,20.0,1.0,71.0,2.0,38.0,1.0,5750.89,181.0,2,1
85.77,1479.0,1.0,19.0,1.0,38.0,0.0,93.0,1.0,9146.19,110.0,1,3
52.2,1029.0,1.0,1.0,2.0,39.0,1.0,120.0,1.0,8974.93,38.0,1,1
345.84,802.0,1.0,13.0,2.0,22.0,3.0,142.0,1.0,1402.5,41.0,1,2
145.54,436.0,1.0,33.0,2.0,21.0,3.0,96.0,1.0,1930.96,46.0,1,3
7.49,1979.0,1.0,15.0,2.0,65.0,2.0,276.0,1.0,3634.67,201.0,2,1
246.93,707.0,1.0,24.0,0.0,23.0,3.0,158.0,1.0,673.35,314.0,1,0
40.32,601.0,1.0,25.0,1.0,37.0,1.0,95.0,1.0,2686.52,335.0,1,1
127.45,160.0,1.0,19.0,2.0,44.0,0.0,197.0,1.0,1772.06,298.0,0,3
56.17,1753.0,1.0,11.0,1.0,27.0,3.0,283.0,1.0,1351.69,127.0,1,1
28.31,1296.0,1.0,24.0,2.0,59.0,0.0,20.0,1.0,8334.47,174.0,0,1
59.12,224.0,1.0,3.0,0.0,29.0,0.0,257.0,1.0,9823.64,35.0,1,1
396.45,1783.0,1.0,27.0,0.0,49.0,1.0,168.0,1.0,9690.15,289.0,0,2
211.36,505.0,1.0,20.0,2.0,22.0,3.0,150.0,1.0,399.0,87.0,1,3
255.26,2019.0,1.0,37.0,1.0,45.0,0.0,50.0,1.0,14815.87,267.0,0,0
124.76,1924.0,1.0,39.0,1.0,49.0,1.0,45.0,1.0,5764.72,0.0,0,3
78.13,2190.0,1.0,25.0,1.0,26.0,3.0,145.0,1.0,900.61,354.0,1,1
649.28,439.0,1.0,38.0,0.0,75.0,2.0,137.0,1.0,4875.86,291.0,2,2
211.36,1904.0,1.0,23.0,0.0,66.0,0.0,90.0,1.0,7914.88,293.0,2,3
335.63,161.0,1.0,28.0,2.0,55.0,2.0,216.0,1.0,1019.39,69.0,0,2
328.47,1393.0,1.0,35.0,0.0,63.0,2.0,119.0,1.0,4323.66,68.0,2,2
34.02,53.0,1.0,30.0,2.0,38.0,0.0,19.0,1.0,14214.48,321.0,1,1
241.42,735.0,1.0,5.0,2.0,57.0,0.0,116.0,1.0,13357.02,160.0,0,0
55.32,684.0,1.0,40.0,0.0,19.0,3.0,117.0,1.0,241.79,100.0,1,1
304.31,1358.0,1.0,21.0,1.0,27.0,3.0,33.0,1.0,868.61,210.0,1,0
435.27,1854.0,1.0,6.0,1.0,74.0,2.0,90.0,1.0,4673.28,288.0,2,2
164.49,2359.0,1.0,3.0,1.0,26.0,3.0,75.0,1.0,1509.27,250.0,1,3
510.24,1869.0,1.0,28.0,2.0,19.0,3.0,105.0,1.0,781.7,311.0,1,2
626.9,2233.0,1.0,10.0,2.0,26.0,3.0,138.0,1.0,265.51,61.0,1,2
22.01,578.0,1.0,34.0,2.0,41.0,1.0,175.0,1.0,1335.09,8.0,0,1
